Timeframe	P_schedule(W)	Q_schedule(VAr)	EAN
1               200000000       0                       1
1               200000000       0                       2
1               -400000000      -250000000              101
1               -100000000      -100000000              102
1               -400000000      -250000000              103
2               200000000       0                       1
2               200000000       0                       2
2               -400000000      -250000000              101
2               -100000000      -100000000              102
2               -350000000      -250000000              103
